Zip,CD110,privatepartyexcellent,privatepartyfair,privatepartygood,privatepartyverygood,min-tradeinfair,tradeinfair,max-tradeinfair,min-tradeingood,tradeingood,max-tradeingood,min-tradeinverygood,tradeinverygood,max-tradeinverygood
70633,LA-04,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
3901,ME-01,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
4010,ME-02,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
20601,MD-05,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
20701,MD-03,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
20701,MD-07,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
20706,MD-04,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
20712,MD-08,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
20755,MD-02,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
20842,MD-06,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
21001,MD-01,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
1001,MA-02,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
1002,MA-01,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
1005,MA-03,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
1432,MA-05,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
1701,MA-07,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
1730,MA-06,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
1770,MA-04,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
2021,MA-09,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
2025,MA-10,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
2108,MA-08,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
48001,MI-10,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
48009,MI-09,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
48015,MI-12,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
48101,MI-13,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
48101,MI-14,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
48101,MI-15,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
48103,MI-07,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
48111,MI-11,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
48114,MI-08,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
48415,MI-04,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
48415,MI-05,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
48610,MI-01,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
48809,MI-03,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
49001,MI-06,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
49010,MI-02,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
55001,MN-02,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
55001,MN-06,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
55006,MN-08,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
55016,MN-04,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
55027,MN-01,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
55112,MN-05,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
55303,MN-03,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
55307,MN-07,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
38601,MS-01,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
38606,MS-02,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
39042,MS-03,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
39168,MS-04,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
51630,MO-06,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
52626,MO-09,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
63005,MO-02,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
63010,MO-03,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
63020,MO-08,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
